Fecha,variable,Medio_pago,Sucursal,Factura
2024-01-02,Laptops,PayPal,Sucursal Centro,FAC000089
2024-01-02,Laptops,Billetera digital,Sucursal Este,FAC000090
2024-01-02,Laptops,Efectivo,Sucursal Centro,FAC000091
2024-01-02,Laptops,Efectivo,Sucursal Centro,FAC000092
2024-01-02,Laptops,Efectivo,Sucursal Este,FAC000093
2024-01-02,Laptops,Efectivo,Sucursal Sur,FAC000094
2024-01-02,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000095
2024-01-02,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000096
2024-01-02,Laptops,Efectivo,Sucursal Centro,FAC000097
2024-01-02,Laptops,Billetera digital,Sucursal Sur,FAC000098
2024-01-02,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000099
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000100
2024-01-03,Laptops,PayPal,Sucursal Centro,FAC000101
2024-01-03,Laptops,PayPal,Sucursal Centro,FAC000102
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000103
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000104
2024-01-03,Laptops,Efectivo,Sucursal Centro,FAC000105
2024-01-03,Laptops,Efectivo,Sucursal Sur,FAC000106
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000107
2024-01-03,Laptops,Billetera digital,Sucursal Este,FAC000108
2024-01-03,Laptops,Efectivo,Sucursal Sur,FAC000109
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000110
2024-01-03,Laptops,Billetera digital,Sucursal Centro,FAC000111
2024-01-03,Laptops,PayPal,Sucursal Centro,FAC000112
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000113
2024-01-03,Laptops,Efectivo,Sucursal Centro,FAC000114
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000115
2024-01-03,Laptops,PayPal,Sucursal Sur,FAC000116
2024-01-03,Laptops,Billetera digital,Sucursal Centro,FAC000117
2024-01-03,Laptops,Efectivo,Sucursal Este,FAC000118
2024-01-03,Laptops,Efectivo,Sucursal Este,FAC000119
2024-01-03,Laptops,Efectivo,Sucursal Sur,FAC000120
2024-01-03,Laptops,Billetera digital,Sucursal Este,FAC000121
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000122
2024-01-03,Laptops,PayPal,Sucursal Este,FAC000123
2024-01-03,Laptops,Efectivo,Sucursal Sur,FAC000124
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000125
2024-01-03,Laptops,PayPal,Sucursal Centro,FAC000126
2024-01-03,Laptops,Billetera digital,Sucursal Norte,FAC000127
2024-01-03,Laptops,Efectivo,Sucursal Centro,FAC000128
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000129
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000130
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000131
2024-01-03,Laptops,Efectivo,Sucursal Centro,FAC000132
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000133
2024-01-03,Laptops,Efectivo,Sucursal Este,FAC000134
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000135
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000136
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000137
2024-01-03,Laptops,Billetera digital,Sucursal Este,FAC000138
2024-01-03,Laptops,PayPal,Sucursal Centro,FAC000139
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000140
2024-01-03,Laptops,PayPal,Sucursal Norte,FAC000141
2024-01-03,Laptops,Efectivo,Sucursal Este,FAC000142
2024-01-03,Laptops,Billetera digital,Sucursal Sur,FAC000143
2024-01-03,Laptops,Billetera digital,Sucursal Norte,FAC000144
2024-01-03,Laptops,Efectivo,Sucursal Sur,FAC000145
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000146
2024-01-03,Laptops,Billetera digital,Sucursal Norte,FAC000147
2024-01-03,Laptops,Efectivo,Sucursal Este,FAC000148
2024-01-03,Laptops,Efectivo,Sucursal Centro,FAC000149
2024-01-03,Laptops,Efectivo,Sucursal Norte,FAC000150
2024-01-03,Laptops,Billetera digital,Sucursal Norte,FAC000151
2024-01-03,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000152
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000153
2024-01-04,Laptops,Efectivo,Sucursal Norte,FAC000154
2024-01-04,Laptops,Efectivo,Sucursal Centro,FAC000155
2024-01-04,Laptops,Billetera digital,Sucursal Centro,FAC000156
2024-01-04,Laptops,Billetera digital,Sucursal Sur,FAC000157
2024-01-04,Laptops,PayPal,Sucursal Centro,FAC000158
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000159
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000160
2024-01-04,Laptops,PayPal,Sucursal Sur,FAC000161
2024-01-04,Laptops,Efectivo,Sucursal Norte,FAC000162
2024-01-04,Laptops,Efectivo,Sucursal Centro,FAC000163
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000164
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000165
2024-01-04,Laptops,PayPal,Sucursal Sur,FAC000166
2024-01-04,Laptops,Billetera digital,Sucursal Este,FAC000167
2024-01-04,Laptops,PayPal,Sucursal Norte,FAC000168
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000169
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000170
2024-01-04,Laptops,Billetera digital,Sucursal Sur,FAC000171
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000172
2024-01-04,Laptops,Efectivo,Sucursal Este,FAC000173
2024-01-04,Laptops,PayPal,Sucursal Sur,FAC000174
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000175
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000176
2024-01-04,Laptops,Billetera digital,Sucursal Norte,FAC000177
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000178
2024-01-04,Laptops,Billetera digital,Sucursal Este,FAC000179
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000180
2024-01-04,Laptops,Efectivo,Sucursal Este,FAC000181
2024-01-04,Laptops,Efectivo,Sucursal Norte,FAC000182
2024-01-04,Laptops,Billetera digital,Sucursal Centro,FAC000183
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000184
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000185
2024-01-04,Laptops,Billetera digital,Sucursal Este,FAC000186
2024-01-04,Laptops,Efectivo,Sucursal Centro,FAC000187
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000188
2024-01-04,Laptops,Billetera digital,Sucursal Sur,FAC000189
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000190
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000191
2024-01-04,Laptops,Efectivo,Sucursal Este,FAC000192
2024-01-04,Laptops,Efectivo,Sucursal Norte,FAC000193
2024-01-04,Laptops,Efectivo,Sucursal Sur,FAC000194
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000195
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000196
2024-01-04,Laptops,Efectivo,Sucursal Centro,FAC000197
2024-01-04,Laptops,Billetera digital,Sucursal Sur,FAC000198
2024-01-04,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000199
2024-01-04,Laptops,Efectivo,Sucursal Centro,FAC000200
2024-01-04,Laptops,Efectivo,Sucursal Norte,FAC000201
2024-01-04,Laptops,Billetera digital,Sucursal Sur,FAC000202
2024-01-04,Laptops,Billetera digital,Sucursal Norte,FAC000203
2024-01-04,Laptops,Efectivo,Sucursal Centro,FAC000204
2024-01-04,Laptops,Efectivo,Sucursal Norte,FAC000205
2024-01-04,Laptops,Efectivo,Sucursal Este,FAC000206
2024-01-04,Laptops,Efectivo,Sucursal Este,FAC000207
2024-01-05,Laptops,Efectivo,Sucursal Sur,FAC000208
2024-01-05,Laptops,Billetera digital,Sucursal Norte,FAC000209
2024-01-05,Laptops,Billetera digital,Sucursal Sur,FAC000210
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000211
2024-01-05,Laptops,Billetera digital,Sucursal Centro,FAC000212
2024-01-05,Laptops,Efectivo,Sucursal Centro,FAC000213
2024-01-05,Laptops,Efectivo,Sucursal Este,FAC000214
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000215
2024-01-05,Laptops,Efectivo,Sucursal Sur,FAC000216
2024-01-05,Laptops,PayPal,Sucursal Centro,FAC000217
2024-01-05,Laptops,PayPal,Sucursal Este,FAC000218
2024-01-05,Laptops,PayPal,Sucursal Este,FAC000219
2024-01-05,Laptops,Billetera digital,Sucursal Norte,FAC000220
2024-01-05,Laptops,Billetera digital,Sucursal Este,FAC000221
2024-01-05,Laptops,Billetera digital,Sucursal Norte,FAC000222
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000223
2024-01-05,Laptops,PayPal,Sucursal Centro,FAC000224
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000225
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000226
2024-01-05,Laptops,Efectivo,Sucursal Centro,FAC000227
2024-01-05,Laptops,PayPal,Sucursal Sur,FAC000228
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000229
2024-01-05,Laptops,Billetera digital,Sucursal Sur,FAC000230
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000231
2024-01-05,Laptops,Efectivo,Sucursal Sur,FAC000232
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000233
2024-01-05,Laptops,Efectivo,Sucursal Sur,FAC000234
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000235
2024-01-05,Laptops,Efectivo,Sucursal Sur,FAC000236
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000237
2024-01-05,Laptops,Billetera digital,Sucursal Este,FAC000238
2024-01-05,Laptops,Efectivo,Sucursal Este,FAC000239
2024-01-05,Laptops,Efectivo,Sucursal Sur,FAC000240
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000241
2024-01-05,Laptops,PayPal,Sucursal Este,FAC000242
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000243
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000244
2024-01-05,Laptops,Efectivo,Sucursal Centro,FAC000245
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000246
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000247
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000248
2024-01-05,Laptops,PayPal,Sucursal Centro,FAC000249
2024-01-05,Laptops,Efectivo,Sucursal Centro,FAC000250
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000251
2024-01-05,Laptops,Efectivo,Sucursal Norte,FAC000252
2024-01-05,Laptops,Efectivo,Sucursal Centro,FAC000253
2024-01-05,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000254
2024-01-05,Laptops,PayPal,Sucursal Sur,FAC000255
2024-01-05,Laptops,Efectivo,Sucursal Este,FAC000256
2024-01-05,Laptops,Efectivo,Sucursal Centro,FAC000257
2024-01-06,Laptops,Efectivo,Sucursal Sur,FAC000258
2024-01-06,Laptops,Efectivo,Sucursal Centro,FAC000259
2024-01-06,Laptops,Efectivo,Sucursal Sur,FAC000260
2024-01-06,Laptops,Billetera digital,Sucursal Sur,FAC000261
2024-01-06,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000262
2024-01-06,Laptops,Billetera digital,Sucursal Sur,FAC000263
2024-01-06,Laptops,PayPal,Sucursal Centro,FAC000264
2024-01-06,Laptops,PayPal,Sucursal Sur,FAC000265
2024-01-06,Laptops,Efectivo,Sucursal Sur,FAC000266
2024-01-06,Laptops,Billetera digital,Sucursal Norte,FAC000267
2024-01-06,Laptops,Billetera digital,Sucursal Norte,FAC000268
2024-01-06,Laptops,Billetera digital,Sucursal Este,FAC000269
2024-01-06,Laptops,Efectivo,Sucursal Centro,FAC000270
2024-01-06,Laptops,Billetera digital,Sucursal Este,FAC000271
2024-01-06,Laptops,Efectivo,Sucursal Centro,FAC000272
2024-01-06,Laptops,Billetera digital,Sucursal Norte,FAC000273
2024-01-06,Laptops,Billetera digital,Sucursal Centro,FAC000274
2024-01-06,Laptops,Efectivo,Sucursal Centro,FAC000275
2024-01-06,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000276
2024-01-06,Laptops,Efectivo,Sucursal Norte,FAC000277
2024-01-06,Laptops,Efectivo,Sucursal Sur,FAC000278
2024-01-06,Laptops,Efectivo,Sucursal Centro,FAC000279
2024-01-06,Laptops,Efectivo,Sucursal Este,FAC000280
2024-01-06,Laptops,Efectivo,Sucursal Este,FAC000281
2024-01-06,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000282
2024-01-06,Laptops,PayPal,Sucursal Norte,FAC000283
2024-01-06,Laptops,Efectivo,Sucursal Este,FAC000284
2024-01-06,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000285
2024-01-06,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000286
2024-01-06,Laptops,Efectivo,Sucursal Este,FAC000287
2024-01-06,Laptops,Efectivo,Sucursal Centro,FAC000288
2024-01-06,Laptops,Efectivo,Sucursal Norte,FAC000289
2024-01-06,Laptops,Efectivo,Sucursal Sur,FAC000290
2024-01-06,Laptops,PayPal,Sucursal Este,FAC000291
2024-01-06,Laptops,Efectivo,Sucursal Sur,FAC000292
2024-01-06,Laptops,Efectivo,Sucursal Este,FAC000293
2024-01-06,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000294
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000295
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000296
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000297
2024-01-07,Laptops,Efectivo,Sucursal Sur,FAC000298
2024-01-07,Laptops,PayPal,Sucursal Centro,FAC000299
2024-01-07,Laptops,Efectivo,Sucursal Norte,FAC000300
2024-01-07,Laptops,Billetera digital,Sucursal Centro,FAC000301
2024-01-07,Laptops,Billetera digital,Sucursal Norte,FAC000302
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000303
2024-01-07,Laptops,Billetera digital,Sucursal Sur,FAC000304
2024-01-07,Laptops,Billetera digital,Sucursal Sur,FAC000305
2024-01-07,Laptops,Efectivo,Sucursal Este,FAC000306
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000307
2024-01-07,Laptops,PayPal,Sucursal Norte,FAC000308
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000309
2024-01-07,Laptops,Efectivo,Sucursal Norte,FAC000310
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000311
2024-01-07,Laptops,PayPal,Sucursal Este,FAC000312
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000313
2024-01-07,Laptops,Efectivo,Sucursal Sur,FAC000314
2024-01-07,Laptops,Efectivo,Sucursal Sur,FAC000315
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000316
2024-01-07,Laptops,Efectivo,Sucursal Este,FAC000317
2024-01-07,Laptops,Efectivo,Sucursal Este,FAC000318
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000319
2024-01-07,Laptops,Efectivo,Sucursal Norte,FAC000320
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000321
2024-01-07,Laptops,Billetera digital,Sucursal Este,FAC000322
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000323
2024-01-07,Laptops,PayPal,Sucursal Este,FAC000324
2024-01-07,Laptops,Efectivo,Sucursal Norte,FAC000325
2024-01-07,Laptops,Billetera digital,Sucursal Norte,FAC000326
2024-01-07,Laptops,Billetera digital,Sucursal Norte,FAC000327
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000328
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000329
2024-01-07,Laptops,Billetera digital,Sucursal Centro,FAC000330
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000331
2024-01-07,Laptops,Efectivo,Sucursal Sur,FAC000332
2024-01-07,Laptops,Efectivo,Sucursal Sur,FAC000333
2024-01-07,Laptops,Efectivo,Sucursal Este,FAC000334
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000335
2024-01-07,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000336
2024-01-07,Laptops,Efectivo,Sucursal Centro,FAC000337
2024-01-07,Laptops,Efectivo,Sucursal Sur,FAC000338
2024-01-08,Laptops,PayPal,Sucursal Norte,FAC000339
2024-01-08,Laptops,Billetera digital,Sucursal Centro,FAC000340
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000341
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000342
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000343
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000344
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000345
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000346
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000347
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000348
2024-01-08,Laptops,Efectivo,Sucursal Este,FAC000349
2024-01-08,Laptops,Efectivo,Sucursal Centro,FAC000350
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000351
2024-01-08,Laptops,Efectivo,Sucursal Centro,FAC000352
2024-01-08,Laptops,Efectivo,Sucursal Sur,FAC000353
2024-01-08,Laptops,Billetera digital,Sucursal Centro,FAC000354
2024-01-08,Laptops,Billetera digital,Sucursal Este,FAC000355
2024-01-08,Laptops,PayPal,Sucursal Este,FAC000356
2024-01-08,Laptops,Billetera digital,Sucursal Este,FAC000357
2024-01-08,Laptops,Billetera digital,Sucursal Sur,FAC000358
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000359
2024-01-08,Laptops,Billetera digital,Sucursal Este,FAC000360
2024-01-08,Laptops,Billetera digital,Sucursal Centro,FAC000361
2024-01-08,Laptops,Billetera digital,Sucursal Sur,FAC000362
2024-01-08,Laptops,Efectivo,Sucursal Sur,FAC000363
2024-01-08,Laptops,Efectivo,Sucursal Este,FAC000364
2024-01-08,Laptops,Billetera digital,Sucursal Centro,FAC000365
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000366
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000367
2024-01-08,Laptops,Billetera digital,Sucursal Norte,FAC000368
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000369
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000370
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000371
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000372
2024-01-08,Laptops,Billetera digital,Sucursal Este,FAC000373
2024-01-08,Laptops,Billetera digital,Sucursal Centro,FAC000374
2024-01-08,Laptops,Efectivo,Sucursal Este,FAC000375
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000376
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000377
2024-01-08,Laptops,Efectivo,Sucursal Centro,FAC000378
2024-01-08,Laptops,Efectivo,Sucursal Sur,FAC000379
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000380
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000381
2024-01-08,Laptops,Billetera digital,Sucursal Centro,FAC000382
2024-01-08,Laptops,Efectivo,Sucursal Este,FAC000383
2024-01-08,Laptops,Billetera digital,Sucursal Centro,FAC000384
2024-01-08,Laptops,Efectivo,Sucursal Centro,FAC000385
2024-01-08,Laptops,Efectivo,Sucursal Norte,FAC000386
2024-01-08,Laptops,Efectivo,Sucursal Sur,FAC000387
2024-01-08,Laptops,Billetera digital,Sucursal Centro,FAC000388
2024-01-08,Laptops,Efectivo,Sucursal Sur,FAC000389
2024-01-08,Laptops,Efectivo,Sucursal Centro,FAC000390
2024-01-08,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000391
2024-01-08,Laptops,PayPal,Sucursal Centro,FAC000392
2024-01-09,Laptops,Billetera digital,Sucursal Este,FAC000393
2024-01-09,Laptops,Billetera digital,Sucursal Centro,FAC000394
2024-01-09,Laptops,Efectivo,Sucursal Norte,FAC000395
2024-01-09,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000396
2024-01-09,Laptops,Efectivo,Sucursal Este,FAC000397
2024-01-09,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000398
2024-01-09,Laptops,Billetera digital,Sucursal Este,FAC000399
2024-01-09,Laptops,Billetera digital,Sucursal Norte,FAC000400
2024-01-09,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000401
2024-01-09,Laptops,PayPal,Sucursal Centro,FAC000402
2024-01-09,Laptops,Efectivo,Sucursal Centro,FAC000403
2024-01-09,Laptops,Billetera digital,Sucursal Sur,FAC000404
2024-01-09,Laptops,PayPal,Sucursal Este,FAC000405
2024-01-09,Laptops,Efectivo,Sucursal Centro,FAC000406
2024-01-09,Laptops,Efectivo,Sucursal Norte,FAC000407
2024-01-09,Laptops,PayPal,Sucursal Este,FAC000408
2024-01-09,Laptops,Efectivo,Sucursal Sur,FAC000409
