Fecha,Servicio,Monto
2023-01-03,Confort,15.4
2023-01-03,Regular,38.4
2023-01-03,Regular,46.4
2023-01-03,Confort,23.3
2023-01-03,Regular,25.0
2023-01-03,Regular,32.6
2023-01-03,Económica,11.0
2023-01-03,Regular,28.6
2023-01-03,Económica,21.4
2023-01-03,Regular,29.0
2023-01-03,Económica,16.1
2023-01-03,Confort,115.8
2023-01-03,Confort,53.0
2023-01-03,Regular,64.3
2023-01-03,Regular,84.4
2023-01-03,Confort,43.0
2023-01-03,Regular,14.3
2023-01-03,Regular,46.8
2023-01-03,Regular,52.3
2023-01-03,Regular,75.4
2023-01-03,Regular,37.0
2023-01-03,Económica,16.5
2023-01-03,Regular,26.0
2023-01-03,Económica,31.6
2023-01-03,Regular,59.6
2023-01-03,Confort,50.4
2023-01-03,Regular,31.0
2023-01-03,Regular,215.9
2023-01-03,Regular,54.5
2023-01-03,Económica,22.9
2023-01-03,Económica,15.1
2023-01-03,Económica,17.9
2023-01-03,Regular,23.5
2023-01-03,Económica,18.4
2023-01-03,Económica,19.9
2023-01-03,Regular,26.0
2023-01-03,Económica,19.1
2023-01-03,Regular,118.6
2023-01-03,Económica,14.0
2023-01-03,Regular,45.5
2023-01-03,Regular,35.3
2023-01-03,Regular,203.1
2023-01-03,Confort,15.7
2023-01-03,Regular,34.3
2023-01-03,Confort,176.8
2023-01-03,Regular,105.9
2023-01-03,Confort,91.2
2023-01-03,Confort,24.3
2023-01-03,Económica,19.0
2023-01-03,Regular,62.8
2023-01-03,Confort,136.7
2023-01-03,Confort,48.9
2023-01-03,Económica,50.5
2023-01-03,Confort,25.7
2023-01-03,Regular,80.2
2023-01-03,Regular,19.9
2023-01-03,Económica,28.7
2023-01-04,Económica,33.1
2023-01-04,Confort,39.6
2023-01-04,Económica,21.6
2023-01-04,Económica,15.1
2023-01-04,Regular,49.4
2023-01-04,Económica,24.2
2023-01-04,Regular,46.4
2023-01-04,Económica,17.0
2023-01-04,Económica,37.4
2023-01-04,Regular,41.8
2023-01-04,Económica,12.2
2023-01-04,Regular,27.1
2023-01-04,Económica,16.0
2023-01-04,Regular,12.7
2023-01-04,Confort,202.2
2023-01-04,Confort,26.3
2023-01-04,Regular,79.3
2023-01-04,Regular,22.3
2023-01-04,Regular,57.8
2023-01-04,Regular,69.7
2023-01-04,Regular,47.8
2023-01-04,Regular,36.6
2023-01-04,Económica,32.2
2023-01-04,Confort,27.9
2023-01-04,Regular,120.8
2023-01-04,Confort,84.2
2023-01-04,Confort,150.1
2023-01-04,Confort,15.5
2023-01-04,Regular,64.8
2023-01-04,Confort,126.4
2023-01-04,Económica,18.4
2023-01-04,Económica,12.9
2023-01-04,Confort,66.5
2023-01-04,Regular,45.7
2023-01-04,Regular,87.0
2023-01-04,Económica,16.3
2023-01-04,Regular,76.3
2023-01-04,Económica,19.4
2023-01-04,Económica,17.5
2023-01-04,Económica,17.5
2023-01-04,Confort,80.4
2023-01-04,Regular,55.7
2023-01-04,Regular,40.9
2023-01-04,Económica,28.6
2023-01-04,Confort,97.6
2023-01-04,Económica,30.8
2023-01-04,Confort,80.9
2023-01-04,Regular,34.2
2023-01-04,Económica,29.8
2023-01-04,Regular,35.9
2023-01-04,Económica,25.0
2023-01-04,Regular,67.5
2023-01-04,Regular,39.2
2023-01-04,Económica,21.0
2023-01-04,Confort,106.0
2023-01-04,Económica,30.2
2023-01-04,Regular,42.8
2023-01-04,Regular,109.0
2023-01-04,Confort,50.9
2023-01-04,Económica,15.2
2023-01-04,Confort,127.4
2023-01-04,Regular,51.3
2023-01-04,Regular,27.0
2023-01-04,Regular,16.3
2023-01-04,Regular,76.0
2023-01-04,Regular,50.4
2023-01-04,Regular,41.8
2023-01-04,Regular,103.7
2023-01-04,Regular,74.9
2023-01-04,Regular,16.9
2023-01-04,Económica,25.6
2023-01-04,Económica,21.9
2023-01-04,Regular,66.9
2023-01-04,Económica,11.4
2023-01-04,Económica,45.2
2023-01-04,Regular,70.0
2023-01-04,Confort,97.5
2023-01-05,Confort,27.1
2023-01-05,Regular,80.3
2023-01-05,Regular,14.8
2023-01-05,Confort,86.5
2023-01-05,Económica,15.6
2023-01-05,Regular,30.7
2023-01-05,Confort,75.1
2023-01-05,Económica,16.6
2023-01-05,Económica,20.6
2023-01-05,Económica,62.3
2023-01-05,Regular,61.9
2023-01-05,Regular,51.8
2023-01-05,Regular,58.3
2023-01-05,Regular,41.9
2023-01-05,Económica,21.8
2023-01-05,Confort,27.3
2023-01-05,Económica,18.2
2023-01-05,Confort,107.6
2023-01-05,Regular,45.7
2023-01-05,Regular,30.9
2023-01-05,Regular,35.3
2023-01-05,Regular,130.1
2023-01-05,Económica,16.8
2023-01-05,Regular,46.0
2023-01-05,Económica,38.8
2023-01-05,Regular,48.6
2023-01-05,Económica,10.7
2023-01-05,Regular,93.9
2023-01-05,Regular,119.8
2023-01-05,Regular,44.0
2023-01-05,Regular,58.7
2023-01-05,Regular,114.4
2023-01-05,Regular,60.1
2023-01-05,Económica,16.8
2023-01-05,Confort,45.0
2023-01-05,Confort,48.1
2023-01-05,Confort,32.5
2023-01-05,Económica,64.4
2023-01-05,Regular,121.1
2023-01-05,Regular,116.0
2023-01-05,Regular,34.5
2023-01-05,Confort,14.9
2023-01-05,Confort,180.9
2023-01-05,Confort,84.5
2023-01-05,Económica,15.4
2023-01-05,Confort,113.5
2023-01-05,Confort,93.2
2023-01-05,Regular,39.9
2023-01-05,Regular,46.5
2023-01-05,Económica,30.8
2023-01-05,Económica,12.3
2023-01-05,Regular,26.7
2023-01-05,Confort,76.3
2023-01-05,Económica,10.2
2023-01-05,Regular,26.6
2023-01-05,Económica,30.7
2023-01-05,Regular,41.5
2023-01-05,Regular,113.0
2023-01-05,Regular,27.3
2023-01-05,Económica,27.4
2023-01-05,Regular,64.6
2023-01-05,Regular,34.6
2023-01-05,Económica,20.4
2023-01-05,Económica,34.6
2023-01-05,Regular,16.2
2023-01-05,Confort,17.9
2023-01-05,Regular,38.2
2023-01-05,Regular,32.2
2023-01-05,Regular,110.5
2023-01-05,Regular,28.4
2023-01-05,Económica,45.5
2023-01-05,Confort,50.8
2023-01-05,Económica,10.5
2023-01-05,Regular,54.4
2023-01-05,Económica,18.0
2023-01-06,Regular,169.9
2023-01-06,Económica,17.9
2023-01-06,Confort,36.4
2023-01-06,Económica,14.4
2023-01-06,Regular,294.1
2023-01-06,Regular,44.4
2023-01-06,Regular,54.6
2023-01-06,Económica,13.4
2023-01-06,Regular,78.3
2023-01-06,Económica,21.6
2023-01-06,Regular,122.5
2023-01-06,Económica,21.3
2023-01-06,Económica,20.4
2023-01-06,Económica,11.8
2023-01-06,Regular,41.5
2023-01-06,Regular,51.0
2023-01-06,Económica,13.3
2023-01-06,Regular,83.6
2023-01-06,Confort,39.7
2023-01-06,Regular,46.6
2023-01-06,Regular,38.6
2023-01-06,Regular,35.2
2023-01-06,Regular,50.4
2023-01-06,Económica,18.3
2023-01-06,Regular,19.9
2023-01-06,Confort,107.5
2023-01-06,Regular,153.9
2023-01-06,Regular,33.0
2023-01-06,Económica,25.6
2023-01-06,Confort,60.9
2023-01-06,Regular,35.9
2023-01-06,Económica,11.3
2023-01-06,Económica,18.4
2023-01-06,Confort,72.0
2023-01-06,Regular,63.0
2023-01-06,Económica,11.4
2023-01-06,Económica,22.4
2023-01-06,Económica,22.9
2023-01-06,Regular,64.9
2023-01-06,Económica,11.0
2023-01-06,Económica,15.4
2023-01-06,Regular,89.3
2023-01-06,Económica,19.7
2023-01-06,Confort,62.1
2023-01-06,Económica,23.4
2023-01-06,Económica,15.2
2023-01-06,Económica,23.7
2023-01-06,Regular,73.1
2023-01-06,Regular,105.4
2023-01-06,Regular,97.3
2023-01-06,Regular,34.9
2023-01-06,Regular,64.3
2023-01-06,Económica,21.3
2023-01-06,Económica,27.1
2023-01-06,Confort,121.6
2023-01-06,Económica,10.6
2023-01-06,Regular,14.4
2023-01-06,Económica,21.5
2023-01-06,Regular,11.3
2023-01-06,Económica,19.9
2023-01-06,Regular,53.1
2023-01-06,Regular,37.0
2023-01-06,Regular,119.9
2023-01-06,Confort,93.8
2023-01-06,Confort,30.6
2023-01-06,Regular,24.8
2023-01-06,Confort,33.5
2023-01-06,Regular,54.0
2023-01-06,Regular,25.4
2023-01-06,Regular,58.2
2023-01-06,Regular,35.9
2023-01-06,Regular,49.6
2023-01-06,Confort,38.2
2023-01-06,Regular,27.2
2023-01-06,Confort,156.1
2023-01-07,Confort,76.9
2023-01-07,Económica,17.0
2023-01-07,Regular,104.1
2023-01-07,Regular,41.0
2023-01-07,Regular,114.3
2023-01-07,Regular,84.6
2023-01-07,Regular,35.7
2023-01-07,Regular,11.1
2023-01-07,Económica,24.5
2023-01-07,Regular,46.2
2023-01-07,Regular,56.6
2023-01-07,Económica,23.8
2023-01-07,Económica,17.0
2023-01-07,Confort,93.6
2023-01-07,Confort,203.0
2023-01-07,Regular,44.6
2023-01-07,Regular,18.7
2023-01-07,Regular,24.7
2023-01-07,Económica,10.9
2023-01-07,Confort,124.0
2023-01-07,Económica,15.8
2023-01-07,Económica,49.9
2023-01-07,Regular,24.9
2023-01-07,Regular,47.5
2023-01-07,Regular,58.9
2023-01-07,Confort,92.1
2023-01-07,Económica,20.7
2023-01-07,Económica,10.5
2023-01-07,Económica,16.8
2023-01-07,Regular,116.8
2023-01-07,Confort,106.0
2023-01-07,Confort,52.2
2023-01-07,Regular,52.6
2023-01-07,Regular,60.7
2023-01-07,Económica,18.9
2023-01-07,Regular,124.0
2023-01-07,Confort,35.2
2023-01-07,Regular,32.4
2023-01-07,Regular,43.9
2023-01-07,Económica,12.2
2023-01-07,Regular,18.4
2023-01-07,Confort,72.1
2023-01-07,Económica,14.0
2023-01-07,Regular,52.9
2023-01-07,Regular,23.1
2023-01-07,Económica,32.9
2023-01-07,Económica,25.8
2023-01-07,Regular,30.4
2023-01-07,Regular,68.9
2023-01-07,Regular,26.4
2023-01-07,Económica,48.8
2023-01-07,Regular,40.0
2023-01-07,Regular,60.5
2023-01-07,Confort,138.1
2023-01-07,Confort,71.2
2023-01-07,Económica,21.2
2023-01-07,Económica,11.5
2023-01-07,Económica,24.1
2023-01-07,Regular,51.9
2023-01-07,Económica,12.4
2023-01-07,Económica,41.8
2023-01-07,Regular,52.1
2023-01-07,Económica,28.9
2023-01-07,Regular,78.4
2023-01-07,Económica,15.2
2023-01-07,Económica,13.6
2023-01-07,Confort,70.4
2023-01-07,Regular,41.7
2023-01-07,Confort,64.1
2023-01-07,Confort,36.5
2023-01-07,Confort,23.1
2023-01-07,Regular,89.3
2023-01-07,Regular,84.5
2023-01-07,Confort,65.0
2023-01-08,Económica,20.2
2023-01-08,Regular,38.7
2023-01-08,Regular,24.4
2023-01-08,Económica,13.1
2023-01-08,Confort,90.1
2023-01-08,Económica,14.7
2023-01-08,Regular,106.5
2023-01-08,Regular,29.0
2023-01-08,Económica,16.6
2023-01-08,Regular,35.1
2023-01-08,Confort,76.3
2023-01-08,Confort,52.4
2023-01-08,Confort,62.8
2023-01-08,Regular,44.6
2023-01-08,Regular,47.9
2023-01-08,Confort,70.8
2023-01-08,Económica,19.2
2023-01-08,Regular,31.6
2023-01-08,Regular,18.0
2023-01-08,Confort,151.3
2023-01-08,Confort,102.7
2023-01-08,Económica,11.3
2023-01-08,Regular,49.3
2023-01-08,Regular,93.4
2023-01-08,Económica,16.4
2023-01-08,Económica,37.0
2023-01-08,Regular,89.4
2023-01-08,Económica,11.1
2023-01-08,Regular,48.4
2023-01-08,Regular,21.3
2023-01-08,Regular,93.0
2023-01-08,Regular,123.9
2023-01-08,Confort,102.8
2023-01-08,Confort,30.7
2023-01-08,Confort,73.7
2023-01-08,Regular,69.8
2023-01-08,Regular,22.4
2023-01-08,Confort,66.8
2023-01-08,Económica,11.2
2023-01-08,Regular,39.2
2023-01-08,Económica,18.4
2023-01-08,Económica,14.1
2023-01-08,Económica,12.6
2023-01-08,Regular,48.3
2023-01-08,Económica,23.4
2023-01-08,Regular,51.5
2023-01-08,Económica,12.2
2023-01-08,Económica,22.2
2023-01-08,Económica,34.9
2023-01-08,Regular,60.3
2023-01-08,Económica,22.3
2023-01-08,Regular,41.6
2023-01-08,Confort,79.8
2023-01-08,Regular,40.8
2023-01-08,Regular,18.5
2023-01-08,Económica,10.8
2023-01-08,Regular,75.6
2023-01-08,Económica,10.7
2023-01-08,Confort,76.8
2023-01-08,Regular,34.2
2023-01-08,Confort,100.0
2023-01-08,Económica,61.6
2023-01-08,Confort,208.8
2023-01-08,Económica,23.9
2023-01-08,Regular,56.9
2023-01-08,Regular,26.5
2023-01-08,Económica,31.0
2023-01-08,Económica,41.8
2023-01-08,Regular,76.5
2023-01-08,Regular,143.1
2023-01-08,Regular,57.0
2023-01-08,Económica,27.4
2023-01-08,Confort,27.6
2023-01-09,Regular,60.8
2023-01-09,Económica,20.4
2023-01-09,Económica,14.4
2023-01-09,Regular,26.6
2023-01-09,Económica,22.9
2023-01-09,Regular,23.3
2023-01-09,Regular,20.1
2023-01-09,Económica,11.6
2023-01-09,Económica,10.7
2023-01-09,Regular,177.1
2023-01-09,Económica,31.2
2023-01-09,Regular,28.4
2023-01-09,Confort,53.2
2023-01-09,Económica,19.4
2023-01-09,Confort,123.8
2023-01-09,Confort,68.6
2023-01-09,Económica,13.6
2023-01-09,Económica,30.5
2023-01-09,Regular,90.3
2023-01-09,Regular,120.0
2023-01-09,Confort,33.9
2023-01-09,Regular,46.1
2023-01-09,Confort,16.9
2023-01-09,Regular,189.7
2023-01-09,Confort,20.0
2023-01-09,Regular,118.6
2023-01-09,Regular,49.8
2023-01-09,Regular,45.5
2023-01-09,Regular,37.3
2023-01-09,Económica,20.0
2023-01-09,Económica,17.4
2023-01-09,Económica,19.5
2023-01-09,Económica,17.8
2023-01-09,Confort,67.4
2023-01-09,Económica,26.4
2023-01-09,Económica,12.3
2023-01-09,Regular,142.1
2023-01-09,Confort,91.8
2023-01-09,Regular,109.8
2023-01-09,Regular,210.6
2023-01-09,Confort,17.3
2023-01-09,Regular,29.2
2023-01-09,Regular,63.9
2023-01-09,Regular,55.2
2023-01-09,Regular,16.3
2023-01-09,Confort,74.3
2023-01-09,Económica,19.7
2023-01-09,Económica,19.6
2023-01-09,Confort,39.2
2023-01-09,Regular,44.1
2023-01-09,Regular,43.0
2023-01-09,Regular,13.6
2023-01-09,Confort,89.7
2023-01-09,Confort,21.7
2023-01-09,Económica,15.3
2023-01-09,Regular,93.4
2023-01-09,Regular,128.4
2023-01-09,Regular,85.3
2023-01-09,Confort,73.0
2023-01-09,Regular,50.5
2023-01-09,Regular,40.4
2023-01-09,Económica,13.5
2023-01-09,Económica,29.9
2023-01-09,Económica,27.7
2023-01-09,Económica,21.4
2023-01-09,Confort,58.8
2023-01-09,Económica,36.0
2023-01-09,Regular,13.2
2023-01-09,Regular,19.4
2023-01-09,Regular,53.7
2023-01-09,Regular,13.0
2023-01-09,Confort,82.4
2023-01-09,Regular,36.0
2023-01-09,Regular,34.9
2023-01-09,Regular,44.1
2023-01-10,Regular,71.0
2023-01-10,Regular,25.0
2023-01-10,Confort,49.7
2023-01-10,Regular,39.2
2023-01-10,Económica,20.9
2023-01-10,Regular,83.9
2023-01-10,Regular,65.9
2023-01-10,Confort,47.6
2023-01-10,Confort,76.6
2023-01-10,Regular,80.8
2023-01-10,Confort,53.2
2023-01-10,Regular,73.6
2023-01-10,Regular,51.9
2023-01-10,Confort,49.9
2023-01-10,Regular,43.8
2023-01-10,Confort,59.0
2023-01-10,Confort,16.1
2023-01-10,Regular,84.6
2023-01-10,Regular,82.0
2023-01-10,Económica,11.0
2023-01-10,Regular,71.2
2023-01-10,Económica,14.8
2023-01-10,Económica,24.3
2023-01-10,Regular,57.7
2023-01-10,Económica,16.1
2023-01-10,Regular,69.7
2023-01-10,Confort,72.5
2023-01-10,Regular,34.8
2023-01-10,Económica,10.2
2023-01-10,Económica,21.9
2023-01-10,Regular,43.6
2023-01-10,Confort,149.2
2023-01-10,Regular,45.0
2023-01-10,Económica,20.5
2023-01-10,Económica,45.2
2023-01-10,Regular,37.2
2023-01-10,Confort,63.0
2023-01-10,Económica,14.0
2023-01-10,Confort,60.2
2023-01-10,Económica,37.3
2023-01-10,Regular,125.5
2023-01-10,Regular,24.7
2023-01-10,Regular,45.1
2023-01-10,Regular,104.2
2023-01-10,Económica,13.8
2023-01-10,Regular,107.0
2023-01-10,Confort,50.8
2023-01-10,Económica,12.5
2023-01-10,Confort,22.5
2023-01-10,Regular,53.2
2023-01-10,Económica,12.4
2023-01-10,Regular,40.6
2023-01-10,Regular,24.9
2023-01-10,Confort,44.0
2023-01-10,Económica,11.6
2023-01-10,Regular,81.9
2023-01-10,Confort,137.2
2023-01-10,Regular,131.6
2023-01-10,Regular,58.5
2023-01-10,Económica,14.9
2023-01-10,Regular,59.8
2023-01-10,Económica,10.9
2023-01-10,Regular,10.8
2023-01-10,Económica,23.7
2023-01-10,Regular,33.5
2023-01-10,Regular,61.6
2023-01-10,Confort,50.3
2023-01-10,Regular,30.7
2023-01-10,Económica,21.2
2023-01-10,Regular,215.0
2023-01-10,Regular,29.5
2023-01-10,Regular,31.0
2023-01-10,Económica,16.3
2023-01-10,Regular,65.5
2023-01-10,Económica,51.5
2023-01-10,Económica,18.7
2023-01-11,Económica,13.9
2023-01-11,Económica,61.3
2023-01-11,Regular,57.8
2023-01-11,Económica,24.4
2023-01-11,Regular,145.5
2023-01-11,Económica,17.4
2023-01-11,Regular,35.5
2023-01-11,Confort,139.3
2023-01-11,Regular,34.5
2023-01-11,Regular,55.8
2023-01-11,Económica,32.8
2023-01-11,Económica,24.4
2023-01-11,Regular,195.9
2023-01-11,Económica,33.7
2023-01-11,Regular,111.0
2023-01-11,Económica,21.8
2023-01-11,Económica,20.8
2023-01-11,Económica,11.4
2023-01-11,Regular,57.4
2023-01-11,Regular,30.7
2023-01-11,Confort,99.8
2023-01-11,Confort,38.8
2023-01-11,Confort,165.1
2023-01-11,Regular,19.2
2023-01-11,Confort,101.3
2023-01-11,Regular,77.4
2023-01-11,Regular,76.3
2023-01-11,Regular,93.8
2023-01-11,Regular,74.4
2023-01-11,Regular,54.3
2023-01-11,Económica,16.3
2023-01-11,Económica,11.5
2023-01-11,Confort,124.1
2023-01-11,Regular,53.1
2023-01-11,Regular,81.6
2023-01-11,Regular,39.5
2023-01-11,Económica,15.6
2023-01-11,Económica,16.0
2023-01-11,Regular,62.0
2023-01-11,Confort,35.3
2023-01-11,Regular,20.1
2023-01-11,Regular,40.4
2023-01-11,Económica,13.0
2023-01-11,Económica,49.2
2023-01-11,Económica,24.1
2023-01-11,Regular,81.8
2023-01-11,Regular,26.7
2023-01-11,Regular,37.3
2023-01-11,Económica,10.5
2023-01-11,Económica,13.4
2023-01-11,Regular,32.4
2023-01-11,Regular,39.4
2023-01-11,Regular,51.2
2023-01-11,Económica,25.5
2023-01-11,Regular,63.4
2023-01-11,Confort,98.5
2023-01-11,Regular,78.1
2023-01-11,Económica,11.8
2023-01-11,Regular,39.5
2023-01-11,Económica,15.0
2023-01-11,Regular,22.5
2023-01-11,Regular,204.2
2023-01-11,Regular,16.9
2023-01-11,Regular,41.1
2023-01-11,Confort,53.3
2023-01-11,Regular,64.5
2023-01-11,Regular,46.9
2023-01-11,Económica,10.4
2023-01-11,Económica,27.8
2023-01-11,Regular,42.8
2023-01-11,Económica,14.1
2023-01-11,Regular,29.4
2023-01-11,Económica,11.5
2023-01-11,Económica,13.7
2023-01-11,Económica,32.7
2023-01-12,Económica,15.4
2023-01-12,Regular,41.5
2023-01-12,Regular,54.0
2023-01-12,Regular,70.6
2023-01-12,Económica,18.4
2023-01-12,Regular,16.9
2023-01-12,Regular,14.2
2023-01-12,Regular,48.0
2023-01-12,Confort,56.1
2023-01-12,Regular,11.2
2023-01-12,Confort,113.5
2023-01-12,Económica,12.0
2023-01-12,Regular,39.3
2023-01-12,Regular,56.4
2023-01-12,Confort,87.0
2023-01-12,Regular,57.1
2023-01-12,Confort,70.8
2023-01-12,Regular,25.6
2023-01-12,Regular,73.4
2023-01-12,Económica,13.1
2023-01-12,Regular,94.7
2023-01-12,Regular,39.8
2023-01-12,Regular,73.9
2023-01-12,Regular,32.6
2023-01-12,Regular,48.8
2023-01-12,Regular,38.1
2023-01-12,Regular,59.4
2023-01-12,Económica,13.2
2023-01-12,Económica,12.3
2023-01-12,Económica,20.7
2023-01-12,Económica,16.5
2023-01-12,Regular,87.2
2023-01-12,Regular,19.3
2023-01-12,Regular,150.0
2023-01-12,Regular,25.4
2023-01-12,Económica,17.6
2023-01-12,Regular,68.6
2023-01-12,Regular,50.4
2023-01-12,Regular,35.9
2023-01-12,Regular,40.5
2023-01-12,Regular,57.7
2023-01-12,Económica,19.8
2023-01-12,Confort,220.9
2023-01-12,Confort,148.4
2023-01-12,Regular,49.5
2023-01-12,Económica,18.4
2023-01-12,Confort,52.9
2023-01-12,Regular,12.8
2023-01-12,Económica,11.2
2023-01-12,Económica,21.2
2023-01-12,Regular,33.3
2023-01-12,Regular,86.2
2023-01-12,Regular,58.8
2023-01-12,Regular,61.0
2023-01-12,Regular,30.8
2023-01-12,Regular,26.0
2023-01-12,Regular,27.4
2023-01-12,Regular,175.2
2023-01-12,Económica,11.5
2023-01-12,Regular,85.9
2023-01-12,Regular,42.5
2023-01-12,Regular,31.7
2023-01-12,Regular,58.6
2023-01-12,Regular,35.1
2023-01-12,Regular,87.7
2023-01-12,Regular,96.8
2023-01-12,Regular,30.6
2023-01-12,Regular,22.2
2023-01-12,Regular,43.7
2023-01-12,Regular,101.5
2023-01-12,Económica,18.9
2023-01-12,Regular,46.7
2023-01-12,Económica,47.5
2023-01-12,Económica,59.7
2023-01-12,Económica,15.3
2023-01-13,Económica,60.8
2023-01-13,Regular,106.8
2023-01-13,Confort,18.0
2023-01-13,Económica,21.0
2023-01-13,Regular,153.6
2023-01-13,Regular,18.1
2023-01-13,Confort,87.8
2023-01-13,Regular,37.4
2023-01-13,Económica,21.5
2023-01-13,Regular,92.6
2023-01-13,Regular,33.8
2023-01-13,Confort,39.2
2023-01-13,Regular,28.0
2023-01-13,Regular,46.3
2023-01-13,Económica,17.2
2023-01-13,Económica,30.0
2023-01-13,Confort,150.9
2023-01-13,Económica,22.1
2023-01-13,Regular,53.2
2023-01-13,Regular,25.9
2023-01-13,Confort,70.0
2023-01-13,Económica,15.7
2023-01-13,Regular,151.4
2023-01-13,Regular,34.4
2023-01-13,Económica,20.9
2023-01-13,Económica,13.1
2023-01-13,Económica,17.5
2023-01-13,Regular,39.6
2023-01-13,Regular,26.6
2023-01-13,Regular,81.3
2023-01-13,Regular,32.8
2023-01-13,Económica,21.6
2023-01-13,Regular,48.8
