Nro pedido,ITEM,Cantidad,Latitud,Longitud,Fecha_pedido,fecha_embarque,fecha_recepcion,fecha_bodega,fecha_entrega
49,95,4,-12.065496,-76.99775,20230121,20230124.0,20230130.0,20230202.0,
50,98,6,-11.942914,-77.071827,20230217,20230219.0,,,
51,89,2,-12.065669,-76.996805,20230213,20230215.0,20230218.0,20230219.0,
52,118,2,-11.9384,-76.976838,20230120,20230127.0,20230204.0,,
53,64,1,-11.937891,-77.067931,20230215,,,,
54,75,3,-11.938454,-76.976916,20230208,20230211.0,,,
55,36,2,-12.077896,-76.99211,20230209,20230210.0,,,
56,9,5,-11.981931,-77.058237,20230124,20230128.0,20230201.0,,
57,94,1,-11.947868,-76.985657,20230131,20230206.0,20230208.0,20230210.0,20230217.0
58,81,4,-11.945317,-77.070357,20230204,20230205.0,20230207.0,,
59,29,4,-12.078241,-76.99199,20230214,20230220.0,,,
60,92,1,-11.949981,-77.050095,20230205,20230207.0,20230214.0,,
61,80,1,-11.946664,-77.086279,20230219,,,,
62,55,2,-12.076306,-76.992928,20230130,20230205.0,,,
63,90,2,-12.030361,-77.046995,20230208,20230210.0,20230213.0,20230218.0,20230220.0
64,104,3,-11.975447,-77.046976,20230205,20230212.0,20230218.0,,
65,70,6,-11.915005,-77.028599,20230126,20230201.0,20230210.0,,
66,57,3,-11.945326,-77.086811,20230213,20230219.0,,,
67,47,3,-11.975358,-77.047004,20230211,20230218.0,,,
68,108,4,-12.074457,-76.999404,20230211,20230216.0,,,
69,118,1,-12.005926,-77.054376,20230127,20230129.0,20230202.0,20230203.0,20230207.0
70,39,5,-11.94534,-77.08671,20230208,20230210.0,,,
71,54,2,-11.945177,-77.087727,20230122,20230125.0,20230203.0,,
72,56,3,-12.078891,-77.007939,20230218,20230219.0,,,
73,111,6,-11.944783,-76.988571,20230207,20230208.0,20230210.0,20230213.0,
74,10,4,-12.197796,-76.962114,20230203,20230205.0,20230209.0,,
75,103,1,-12.077624,-77.002712,20230208,,,,
76,44,5,-11.941741,-76.997638,20230110,20230117.0,20230131.0,,
77,12,1,-12.21005,-76.937761,20230220,,,,
78,7,1,-12.07313,-76.999615,20230116,20230120.0,20230202.0,,
79,60,2,-11.946354,-77.088705,20230208,,,,
80,25,3,-11.946744,-77.08861,20230130,20230131.0,20230202.0,20230205.0,
81,11,2,-11.950119,-76.98684,20230116,20230121.0,20230130.0,20230201.0,20230202.0
82,76,1,-12.219164,-76.92379,20230219,,,,
83,8,4,-11.947119,-77.08957,20230207,20230212.0,20230213.0,20230216.0,20230217.0
84,49,2,-12.219408,-76.926383,20230129,20230130.0,20230213.0,20230215.0,
85,71,1,-11.938177,-77.070717,20230214,20230220.0,,,
86,89,4,-11.94724,-77.089519,20230203,,,,
87,93,1,-12.072323,-76.997877,20230116,20230122.0,20230126.0,20230128.0,20230204.0
88,21,1,-12.22763,-76.928134,20230205,20230209.0,20230214.0,,
89,100,1,-11.95447,-76.990781,20230204,20230207.0,20230208.0,,
90,122,4,-11.945304,-77.091922,20230128,20230203.0,20230207.0,20230209.0,
91,11,2,-11.968297,-77.003416,20230129,20230131.0,20230209.0,20230211.0,20230216.0
92,50,1,-12.23244,-76.925065,20230118,20230122.0,20230127.0,20230201.0,20230205.0
93,112,1,-11.989115,-77.016375,20230129,20230130.0,20230202.0,,
94,113,5,-12.076938,-76.997957,20230206,,,,
95,89,5,-12.230864,-76.923024,20230126,20230129.0,20230201.0,,
96,4,1,-11.990028,-77.015338,20230119,20230123.0,20230131.0,,
97,31,2,-11.949914,-77.050007,20230121,20230128.0,20230205.0,20230209.0,20230213.0
98,25,3,-12.011937,-77.011532,20230129,20230205.0,20230211.0,,
99,1,4,-12.229777,-76.926712,20230209,20230210.0,20230212.0,,
100,118,3,-12.01445,-77.010624,20230121,20230128.0,20230204.0,,
101,76,4,-12.22962,-76.94548,20230210,20230214.0,20230218.0,,
102,50,4,-12.01249,-77.008111,20230211,20230214.0,,,
103,78,1,-12.012691,-77.008667,20230128,20230202.0,20230206.0,,
104,77,4,-12.013106,-77.004906,20230208,20230210.0,20230213.0,,
105,87,1,-11.941723,-77.064092,20230202,20230206.0,,,
106,33,2,-11.955747,-77.038764,20230113,20230115.0,20230124.0,20230127.0,20230201.0
107,32,3,-11.941729,-77.06413,20230119,20230125.0,20230206.0,,
108,9,1,-12.026361,-77.053923,20230119,20230121.0,20230202.0,20230204.0,20230209.0
109,20,1,-11.947232,-77.076156,20230207,20230208.0,,,
110,31,4,-12.02714,-76.99994,20230212,,,,
111,40,1,-11.946316,-77.077072,20230128,20230129.0,20230201.0,,
112,54,5,-12.017202,-77.098882,20230125,20230126.0,20230201.0,,
113,16,2,-12.025048,-77.052397,20230121,20230127.0,20230210.0,,
114,59,2,-12.039835,-77.091836,20230216,20230218.0,,,
115,25,4,-11.946541,-77.075522,20230201,20230204.0,20230205.0,,
116,39,3,-12.025267,-77.052385,20230207,20230214.0,20230217.0,20230219.0,
117,8,2,-11.950087,-77.049952,20230203,20230204.0,20230212.0,,
118,55,3,-12.039637,-77.093145,20230120,20230122.0,20230129.0,20230130.0,20230202.0
119,24,5,-11.94825,-77.079852,20230202,20230209.0,,,
120,83,4,-12.01806,-77.101051,20230123,20230126.0,20230208.0,,
121,116,2,-12.0409,-77.096269,20230210,20230215.0,,,
122,3,2,-12.12462,-76.994022,20230128,20230202.0,20230210.0,,
123,114,4,-11.949052,-77.082917,20230117,20230123.0,20230201.0,20230203.0,20230209.0
124,113,4,-12.042382,-77.095979,20230218,,,,
125,51,3,-11.918986,-77.043668,20230126,20230127.0,20230205.0,20230208.0,
126,85,4,-11.951158,-77.081593,20230211,20230217.0,,,
127,12,2,-12.124608,-76.994008,20230123,20230129.0,20230202.0,20230204.0,
128,119,2,-12.032406,-77.070305,20230110,20230117.0,20230127.0,20230131.0,20230205.0
129,91,4,-11.907542,-77.044409,20230204,20230206.0,20230210.0,,
130,59,4,-11.951496,-77.077829,20230115,20230120.0,20230130.0,20230203.0,
131,36,6,-12.021064,-76.969009,20230209,,,,
132,42,4,-11.944038,-76.974615,20230114,20230118.0,20230125.0,20230129.0,20230205.0
133,30,2,-11.95114,-77.075525,20230122,20230128.0,20230203.0,,
134,85,1,-11.942502,-76.969734,20230209,20230212.0,20230215.0,,
135,118,1,-12.073042,-76.992237,20230124,20230127.0,20230201.0,20230203.0,20230208.0
136,14,1,-12.023933,-76.968353,20230205,,,,
137,16,1,-11.954016,-77.07558,20230128,20230131.0,20230212.0,20230216.0,
138,99,2,-12.024541,-76.973764,20230205,20230208.0,,,
139,107,5,-12.19771,-76.96209,20230204,20230205.0,,,
140,43,4,-12.042474,-77.085066,20230214,,,,
141,42,2,-11.900132,-77.04953,20230212,20230216.0,,,
142,110,1,-11.954612,-77.075451,20230202,,,,
143,57,1,-12.056296,-77.113817,20230209,,,,
144,40,1,-12.076048,-76.995212,20230123,20230128.0,20230203.0,20230204.0,20230206.0
145,33,1,-11.954268,-77.074698,20230117,20230121.0,20230131.0,20230202.0,20230209.0
146,90,1,-12.198507,-76.96548,20230201,20230205.0,,,
147,110,4,-11.87417,-77.12784,20230125,20230201.0,20230202.0,20230206.0,20230208.0
148,50,2,-12.056257,-77.1145,20230201,20230206.0,,,
149,17,5,-11.931744,-76.989815,20230129,20230131.0,20230213.0,,
150,118,4,-12.024557,-76.973564,20230112,20230119.0,20230121.0,20230125.0,20230201.0
151,31,5,-11.94825,-77.074848,20230202,20230204.0,20230210.0,20230215.0,
152,108,2,-11.885536,-77.035571,20230127,20230203.0,20230209.0,,
153,110,3,-11.928231,-76.990016,20230201,20230203.0,20230212.0,,
154,105,1,-11.95908,-77.076235,20230121,20230122.0,20230125.0,20230129.0,20230202.0
155,88,4,-12.060247,-77.138198,20230208,20230209.0,,,
156,54,3,-12.215999,-76.947248,20230130,20230201.0,20230206.0,20230210.0,20230215.0
157,89,2,-11.914774,-77.026213,20230205,,,,
158,8,1,-11.885999,-77.035569,20230208,20230214.0,20230218.0,,
159,41,2,-11.874492,-77.127221,20230130,20230206.0,20230209.0,20230212.0,
160,10,3,-11.957629,-77.078914,20230202,20230204.0,20230217.0,,
161,109,4,-12.034185,-77.082128,20230204,,,,
162,100,2,-12.024341,-76.976772,20230124,20230128.0,20230206.0,,
163,71,3,-11.930194,-76.991134,20230122,20230123.0,20230201.0,20230205.0,
164,69,6,-12.209226,-76.935406,20230131,,,,
165,56,4,-11.878823,-77.037088,20230205,20230212.0,20230220.0,,
166,11,2,-12.027573,-77.082751,20230124,20230125.0,20230131.0,,
167,43,3,-11.929967,-76.99106,20230218,,,,
168,55,1,-11.874665,-77.127393,20230129,20230130.0,20230201.0,20230204.0,20230209.0
169,5,3,-11.878839,-77.02961,20230120,20230123.0,20230126.0,20230129.0,20230203.0
170,87,5,-11.957574,-77.0803,20230117,20230124.0,20230201.0,20230203.0,20230206.0
171,1,3,-12.124585,-76.994,20230213,,,,
172,84,4,-11.945097,-77.04608,20230127,20230203.0,20230214.0,20230219.0,
173,49,1,-11.938751,-76.988927,20230102,20230109.0,20230123.0,20230125.0,20230201.0
174,112,2,-11.87107,-77.027353,20230208,20230214.0,,,
175,21,1,-11.873038,-77.12717,20230207,20230210.0,,,
176,68,3,-12.029529,-77.083787,20230106,20230112.0,20230125.0,20230128.0,20230131.0
177,82,1,-12.077835,-76.989477,20230125,20230128.0,20230204.0,,
178,62,1,-12.024354,-76.988978,20230202,20230203.0,20230207.0,20230210.0,20230213.0
179,61,5,-11.936519,-76.986556,20230128,20230204.0,20230212.0,20230217.0,
180,85,2,-12.024932,-76.987801,20230214,,,,
181,114,1,-11.871405,-77.127467,20230125,20230131.0,20230202.0,20230203.0,20230204.0
182,65,1,-12.063975,-76.997762,20230125,20230129.0,20230204.0,,
183,119,5,-12.024104,-76.985761,20230212,20230217.0,,,
184,98,1,-11.875784,-77.127213,20230201,,,,
185,44,3,-12.227542,-76.928189,20230126,20230128.0,20230130.0,20230204.0,
186,2,1,-11.934671,-77.03721,20230217,20230219.0,20230220.0,,
187,114,2,-11.876028,-77.127357,20230209,20230215.0,,,
188,32,5,-12.076233,-77.003682,20230216,20230218.0,,,
189,43,3,-11.87585,-77.127304,20230120,20230126.0,20230206.0,,
190,78,6,-11.899798,-77.039475,20230207,20230213.0,,,
191,7,2,-12.124713,-76.994037,20230202,20230206.0,20230207.0,20230210.0,
192,121,1,-11.947363,-77.075235,20230205,,,,
193,53,4,-12.041844,-77.084666,20230211,20230215.0,,,
194,70,4,-12.030451,-77.09428,20230126,20230202.0,,,
195,19,4,-11.876035,-77.128287,20230209,,,,
196,107,1,-12.278265,-76.870161,20230129,20230205.0,20230206.0,20230209.0,
197,123,3,-11.96198,-76.986435,20230131,20230206.0,20230208.0,20230212.0,
198,3,1,-11.875921,-77.128333,20230122,20230127.0,20230205.0,,
199,108,3,-11.952608,-77.070225,20230122,20230128.0,20230208.0,20230213.0,20230216.0
200,18,1,-12.030378,-77.091782,20230124,20230130.0,20230207.0,20230211.0,20230217.0
201,82,1,-12.080316,-76.996789,20230202,20230206.0,20230211.0,20230212.0,20230217.0
202,22,2,-11.877155,-77.128756,20230201,20230204.0,20230215.0,20230219.0,
203,89,2,-12.031082,-77.085033,20230125,20230127.0,20230209.0,,
204,1,2,-12.12474,-76.993909,20230127,20230203.0,20230204.0,20230208.0,20230211.0
205,96,2,-12.079522,-76.991538,20230209,,,,
206,97,2,-12.038874,-77.087097,20230219,,,,
207,25,4,-11.876342,-77.127312,20230210,20230212.0,20230214.0,,
208,57,4,-12.031377,-77.083159,20230203,20230206.0,,,
209,89,2,-11.957652,-77.062694,20230214,20230215.0,20230219.0,,
210,96,6,-12.276584,-76.871037,20230204,20230211.0,20230212.0,20230215.0,20230216.0
211,6,4,-12.031797,-77.083129,20230202,20230209.0,20230211.0,20230216.0,
212,19,1,-11.876832,-77.127555,20230219,,,,
213,35,1,-11.928393,-76.98998,20230208,20230214.0,,,
214,61,3,-12.052648,-77.094194,20230127,20230130.0,20230208.0,20230211.0,20230213.0
215,21,4,-12.072958,-77.01108,20230126,20230131.0,20230203.0,,
216,62,1,-11.935989,-77.054406,20230213,20230214.0,20230220.0,,
217,111,1,-12.040032,-77.018496,20230125,20230128.0,20230204.0,20230208.0,20230210.0
218,48,4,-11.87681,-77.127599,20230201,20230204.0,20230214.0,,
219,50,1,-12.052882,-77.095622,20230129,20230202.0,20230210.0,20230212.0,
220,114,1,-12.032016,-77.064598,20230217,,,,
221,50,2,-12.244782,-76.921302,20230125,20230131.0,,,
222,10,2,-12.124619,-76.993857,20230106,20230109.0,20230123.0,20230124.0,20230131.0
223,101,2,-11.942209,-76.992027,20230203,20230207.0,20230220.0,,
224,15,3,-11.964504,-77.05403,20230206,20230208.0,20230219.0,20230220.0,
225,28,1,-12.06884,-77.007296,20230209,,,,
226,67,1,-12.053484,-77.096321,20230218,,,,
227,117,5,-11.876545,-77.128231,20230210,,,,
228,45,2,-12.245045,-76.922254,20230204,20230207.0,,,
229,76,1,-12.030265,-77.064823,20230118,20230123.0,20230129.0,20230131.0,
230,29,1,-12.076887,-76.999967,20230113,20230117.0,20230128.0,20230202.0,
231,14,4,-11.947079,-76.985538,20230113,20230117.0,20230124.0,20230129.0,20230202.0
232,105,3,-11.997202,-77.009033,20230114,20230118.0,20230201.0,,
233,53,2,-12.07279,-76.992565,20230216,,,,
234,92,3,-12.06532,-77.097443,20230201,,,,
235,71,2,-12.03204,-77.065404,20230203,20230205.0,,,
236,102,2,-12.066097,-77.097032,20230117,20230121.0,20230123.0,20230127.0,20230131.0
237,63,2,-12.069051,-77.102994,20230122,20230127.0,20230206.0,,
238,119,1,-12.065403,-77.105834,20230122,20230127.0,20230203.0,20230205.0,
239,31,4,-12.065756,-77.105316,20230214,20230215.0,,,
240,2,1,-12.112013,-77.002791,20230217,,,,
241,120,4,-11.94118,-77.0483,20230213,20230214.0,,,
242,87,3,-11.923961,-76.958874,20230128,20230131.0,20230212.0,20230213.0,20230220.0
243,25,4,-11.950042,-77.049973,20230214,,,,
244,20,2,-11.900988,-77.058378,20230130,20230201.0,,,
245,26,5,-12.048057,-77.110489,20230130,20230206.0,20230211.0,20230215.0,20230219.0
246,2,2,-12.047895,-77.110501,20230127,20230202.0,20230203.0,20230208.0,20230215.0
247,48,2,-12.047631,-77.110347,20230206,20230208.0,,,
248,68,1,-12.010462,-77.060204,20230120,20230126.0,20230202.0,,
249,97,2,-12.023925,-76.968308,20230203,20230210.0,20230217.0,,
250,62,3,-12.052011,-77.115943,20230201,20230206.0,,,
251,97,1,-11.960085,-77.072382,20230215,,,,
252,11,4,-11.854625,-77.087555,20230113,20230118.0,20230131.0,20230203.0,
253,75,1,-11.960236,-77.07284,20230208,,,,
254,73,1,-11.958481,-77.073213,20230112,20230119.0,20230202.0,20230207.0,
255,10,3,-12.091982,-77.080285,20230122,20230129.0,20230209.0,,
256,9,1,-12.049681,-77.109119,20230116,20230117.0,20230124.0,20230128.0,20230201.0
257,55,1,-12.197785,-76.96193,20230117,20230120.0,20230131.0,20230201.0,20230204.0
258,80,1,-11.959326,-77.073749,20230128,20230201.0,20230206.0,20230209.0,20230210.0
259,4,1,-11.857495,-77.08491,20230119,20230126.0,20230130.0,20230131.0,20230204.0
260,55,2,-12.088918,-77.079856,20230123,20230125.0,20230202.0,,
261,70,4,-12.052295,-77.109064,20230212,20230213.0,,,
262,101,4,-11.959414,-77.075342,20230210,20230217.0,,,
263,33,5,-11.858611,-77.121329,20230217,,,,
264,13,3,-11.975075,-77.009218,20230120,20230127.0,20230209.0,20230212.0,
265,18,5,-11.852689,-77.121156,20230115,20230116.0,20230129.0,20230203.0,
266,1,2,-12.091118,-77.081192,20230127,20230130.0,20230202.0,20230207.0,
267,16,5,-11.957801,-77.078691,20230215,,,,
268,115,5,-11.899221,-77.069239,20230130,20230201.0,,,
269,119,1,-12.046177,-76.958046,20230216,,,,
270,33,2,-11.857209,-77.084824,20230217,20230219.0,,,
271,65,2,-12.198563,-76.965456,20230118,20230120.0,20230201.0,20230205.0,
272,20,1,-11.963241,-77.089785,20230125,20230201.0,,,
273,17,1,-12.185024,-76.998092,20230127,20230129.0,20230201.0,20230205.0,20230210.0
274,37,3,-12.087806,-77.085003,20230210,20230213.0,20230218.0,,
275,35,4,-12.044713,-76.955745,20230128,20230129.0,20230207.0,20230212.0,
276,41,5,-11.85511,-77.125229,20230207,20230212.0,,,
277,87,2,-11.957008,-77.08251,20230211,20230212.0,,,
278,74,1,-12.087936,-77.084359,20230204,20230209.0,,,
279,79,5,-12.091581,-77.072067,20230204,20230207.0,20230212.0,20230216.0,
280,51,4,-12.198463,-76.964482,20230217,20230218.0,,,
281,114,2,-12.046095,-76.955911,20230130,20230201.0,20230215.0,20230216.0,20230220.0
282,2,2,-12.091491,-77.072078,20230202,20230209.0,,,
283,84,2,-12.089019,-77.08486,20230212,20230213.0,20230215.0,,
284,8,5,-11.956823,-77.081297,20230128,20230204.0,20230215.0,20230217.0,
285,8,4,-12.041,-76.960791,20230109,20230115.0,20230129.0,20230131.0,
286,84,5,-12.075932,-77.109979,20230201,20230202.0,,,
287,74,2,-11.959335,-77.073785,20230121,20230125.0,20230131.0,20230201.0,20230202.0
288,91,3,-12.090828,-77.075198,20230126,20230131.0,20230209.0,,
289,5,1,-12.04741,-76.961061,20230130,20230206.0,,,
290,27,6,-11.928237,-77.059459,20230113,20230120.0,20230202.0,,
291,94,2,-11.968348,-77.109209,20230124,20230128.0,20230202.0,,
292,13,1,-11.945371,-77.091627,20230120,20230126.0,20230131.0,20230201.0,
293,63,2,-12.074172,-77.110886,20230130,20230202.0,20230213.0,20230218.0,
294,83,3,-12.200484,-76.950132,20230215,,,,
295,95,3,-12.089656,-77.073509,20230209,20230213.0,,,
296,26,1,-11.965352,-77.074467,20230214,20230216.0,,,
297,93,5,-11.968448,-77.060295,20230125,20230130.0,20230208.0,,
298,36,5,-11.944906,-77.092885,20230122,20230125.0,20230131.0,,
299,21,1,-12.047621,-76.961339,20230218,,,,
300,29,1,-12.071772,-77.115324,20230216,,,,
301,22,1,-11.855209,-77.11656,20230208,,,,
302,73,2,-11.968449,-77.109198,20230210,,,,
303,73,2,-11.962133,-77.083006,20230127,20230131.0,20230206.0,,
304,73,6,-11.935812,-76.970404,20230122,20230129.0,20230206.0,20230209.0,20230212.0
305,81,2,-12.072168,-77.113559,20230126,20230129.0,20230205.0,20230207.0,20230213.0
306,69,1,-11.962062,-77.081759,20230131,20230204.0,,,
307,96,3,-11.940802,-77.059049,20230120,20230125.0,20230207.0,20230210.0,20230216.0
308,63,3,-12.184734,-76.998285,20230213,,,,
309,120,2,-11.968803,-77.105459,20230129,20230131.0,,,
310,64,4,-11.854499,-77.12497,20230202,20230205.0,20230216.0,20230219.0,
311,48,3,-12.195813,-76.956594,20230213,20230220.0,,,
312,78,2,-12.062154,-77.109531,20230118,20230120.0,20230131.0,20230204.0,
313,62,2,-12.089272,-77.073478,20230126,20230130.0,20230131.0,20230201.0,
314,32,2,-11.962303,-77.077451,20230204,20230209.0,20230211.0,,
315,19,2,-11.943676,-77.04993,20230128,20230203.0,,,
316,101,2,-11.962737,-77.077149,20230204,,,,
317,67,1,-11.85283,-77.124453,20230205,20230209.0,,,
318,117,2,-12.059044,-77.105655,20230203,20230204.0,20230212.0,20230216.0,
319,26,2,-11.962767,-77.100973,20230209,20230213.0,20230216.0,,
320,112,6,-11.94427,-76.981135,20230205,20230211.0,20230212.0,,
321,87,1,-12.198031,-76.946097,20230203,20230206.0,20230209.0,,
322,46,3,-11.851344,-77.126458,20230130,20230206.0,,,
323,64,3,-11.961803,-77.100444,20230208,20230209.0,,,
324,95,2,-12.059507,-77.10536,20230117,20230123.0,20230205.0,20230210.0,
325,55,1,-12.204553,-76.942005,20230215,,,,
326,19,3,-11.995813,-77.054524,20230118,20230119.0,20230126.0,20230131.0,20230206.0
327,83,2,-11.961759,-77.038001,20230131,20230203.0,20230212.0,,
328,56,1,-11.875633,-77.015423,20230110,20230112.0,20230126.0,20230130.0,20230203.0
329,106,6,-12.197178,-76.982085,20230125,20230128.0,20230210.0,20230215.0,20230220.0
330,11,1,-12.059515,-77.105515,20230211,20230214.0,,,
331,1,4,-11.95951,-77.096958,20230213,20230219.0,,,
332,39,2,-12.197281,-76.982078,20230131,20230201.0,,,
333,61,1,-12.212432,-76.934072,20230128,20230201.0,,,
334,82,3,-12.197244,-76.981929,20230127,20230131.0,20230204.0,,
335,114,1,-11.864613,-77.073678,20230215,20230217.0,20230218.0,20230220.0,
336,116,1,-12.197225,-76.982069,20230204,20230210.0,,,
337,119,1,-11.949957,-77.049931,20230130,20230206.0,,,
338,81,2,-12.006132,-77.054227,20230131,20230206.0,20230220.0,,
339,83,3,-12.224875,-76.933076,20230210,20230214.0,,,
340,112,4,-12.04367,-77.102396,20230127,20230129.0,20230210.0,20230214.0,
341,19,3,-12.227155,-76.931799,20230114,20230117.0,20230124.0,20230125.0,20230201.0
342,99,3,-11.983454,-77.01429,20230205,20230206.0,20230217.0,,
343,20,6,-12.045483,-77.101553,20230127,20230129.0,20230201.0,20230203.0,
344,38,2,-11.961644,-77.037979,20230205,20230207.0,20230213.0,20230216.0,20230219.0
345,60,2,-12.202789,-77.004021,20230210,20230215.0,,,
346,33,1,-11.849084,-77.098597,20230130,20230204.0,20230206.0,20230209.0,20230214.0
347,76,2,-12.226437,-76.93066,20230203,20230208.0,,,
348,62,2,-11.848624,-77.097575,20230201,20230203.0,20230206.0,20230210.0,
349,106,6,-12.009397,-77.012146,20230128,20230130.0,20230204.0,20230207.0,
350,102,6,-12.194119,-77.002901,20230207,20230212.0,20230217.0,,
351,48,1,-12.017606,-77.011064,20230217,,,,
352,47,2,-12.223108,-76.924129,20230207,20230214.0,,,
353,54,5,-11.961113,-77.048675,20230206,,,,
354,95,1,-11.841245,-77.113444,20230210,,,,
355,83,1,-11.940696,-77.046255,20230204,,,,
356,57,2,-11.963371,-77.093007,20230208,20230211.0,20230213.0,,
357,46,6,-12.193493,-77.020101,20230124,20230125.0,20230205.0,20230208.0,
358,83,2,-11.837561,-77.109407,20230212,,,,
359,7,6,-12.025628,-77.013112,20230123,20230126.0,20230207.0,20230212.0,
360,51,1,-12.192964,-77.019703,20230118,20230119.0,20230125.0,20230128.0,20230203.0
361,73,1,-11.964282,-77.094419,20230125,20230131.0,,,
362,31,1,-11.845981,-77.098391,20230125,20230128.0,20230203.0,20230204.0,
363,22,5,-11.848015,-77.096951,20230107,20230114.0,20230127.0,20230131.0,
364,122,2,-11.957357,-77.099016,20230111,20230117.0,20230124.0,20230129.0,20230203.0
365,79,1,-12.230881,-76.918267,20230202,,,,
366,18,1,-12.189095,-77.014197,20230131,20230207.0,20230211.0,,
367,7,2,-11.963752,-77.094997,20230125,20230126.0,20230201.0,20230203.0,20230208.0
368,43,1,-11.85719,-77.084282,20230130,20230204.0,20230214.0,,
369,9,2,-11.930112,-77.043974,20230130,20230131.0,20230213.0,20230218.0,20230219.0
370,47,1,-12.236512,-76.915657,20230204,20230206.0,20230212.0,20230217.0,
371,59,1,-12.039363,-77.089118,20230202,20230204.0,,,
372,22,4,-12.023938,-76.968239,20230130,20230131.0,20230210.0,,
373,33,4,-12.205882,-77.011925,20230203,20230206.0,20230211.0,20230215.0,
374,1,1,-11.965473,-77.091614,20230210,20230214.0,20230219.0,,
375,15,1,-12.025425,-76.968355,20230127,20230131.0,20230203.0,,
376,87,1,-12.039739,-77.091129,20230131,20230205.0,20230210.0,,
377,77,1,-11.96767,-77.089626,20230204,20230210.0,20230213.0,20230218.0,20230220.0
378,101,3,-12.180693,-77.020973,20230212,20230213.0,,,
379,51,1,-12.212741,-76.93709,20230204,20230206.0,,,
380,63,3,-11.977452,-77.093331,20230216,20230218.0,,,
381,30,3,-11.853814,-77.126956,20230111,20230116.0,20230128.0,20230131.0,
382,25,5,-12.181718,-77.012007,20230209,20230215.0,20230220.0,,
383,23,4,-12.22554,-76.958723,20230131,20230206.0,20230209.0,20230212.0,20230215.0
384,9,1,-11.853925,-77.127942,20230118,20230124.0,20230203.0,20230207.0,20230214.0
385,35,4,-12.168474,-76.999044,20230212,,,,
386,72,1,-12.169066,-76.996609,20230214,20230218.0,,,
387,92,5,-11.855632,-77.128002,20230116,20230121.0,20230201.0,20230205.0,20230208.0
